#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_30min/ERR405227.sorted.bam Mapped Reads/million: 38.542759
#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_30min/ERR405228.sorted.bam Mapped Reads/million: 37.642071
#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_30min/ERR405229.sorted.bam Mapped Reads/million: 31.734760

    	ERR405227.sorted.bam	ERR405228.sorted.bam	ERR405229.sorted.bam	
    	      Sense   Antisense       Total	      Sense   Antisense       Total	      Sense   Antisense       Total	
pheS	     10.389      10.573      20.962	      9.584       9.557      19.142	     10.600      10.600      21.200	
pheP	      3.776       2.846       6.621	      3.637       2.971       6.608	      3.750       3.208       6.957	
rpoH	    846.087     971.383    1817.469	   1083.490    1261.156    2344.646	   1034.230    1145.091    2179.321	
cds4321	    308.582     435.364     743.947	    347.242     540.176     887.418	    235.999     377.687     613.686	
pheM	      4.612      20.756      25.369	      4.132      24.795      28.927	      4.201      15.405      19.607	
rpoE	    621.559     370.665     992.224	    699.157     415.463    1114.620	    715.074     411.177    1126.252	
rpoD	    100.981     104.880     205.861	    119.540     125.113     244.654	     99.666     103.512     203.178	
rpoC	     24.213      25.239      49.452	     33.723      35.780      69.503	     22.283      23.163      45.447	
cds2149	     26.383      23.975      50.358	     27.911      25.258      53.169	     24.996      22.071      47.067	
rpoB	     37.846      37.904      75.749	     50.917      50.884     101.800	     32.512      32.755      65.267	
rpoA	    164.844     185.626     350.470	    206.651     231.581     438.232	    178.627     204.091     382.718	
bacA	      6.186       4.356      10.542	      7.563       5.720      13.283	      8.395       6.939      15.334	
cds1059	      4.110       3.872       7.982	      4.923       4.696       9.619	      3.989       3.739       7.728	
cds2143	     81.491      71.684     153.175	     89.056      78.420     167.475	     84.896      76.179     161.075	
cds1058	     71.988     105.593     177.581	     76.915     119.252     196.167	     97.835     152.954     250.789	
cds1057	     24.577      29.805      54.382	     29.518      37.022      66.540	     22.076      29.850      51.925	
cds2141	    181.929      47.097     229.026	    226.718      63.268     289.986	    169.578      48.596     218.174	
pheA	     12.068      11.419      23.487	     14.072      13.478      27.550	     12.132      11.481      23.613	
cds1056	      9.568       8.425      17.993	     12.494      11.375      23.869	      8.602       7.908      16.510	
cds2140	     11.825       7.976      19.801	     14.862       8.784      23.646	     14.165       9.321      23.486	
tesB	     20.732      21.003      41.735	     27.739      27.553      55.292	     18.006      17.970      35.976	
cds1055	    330.542       3.113     333.655	    326.054       4.251     330.304	    267.845       3.991     271.837	
tesA	     37.294      34.256      71.550	     49.460      45.011      94.471	     30.794      30.128      60.922	
cds1054	   2166.343    2064.379    4230.722	   2273.848    2181.234    4455.082	   1926.531    1852.269    3778.800	
cds1053	     31.521     111.064     142.585	     40.199     184.564     224.763	     46.714     116.647     163.361	
mraY	      6.971       7.019      13.991	      9.518       9.738      19.256	      6.372       6.168      12.540	
cds1052	     73.511      22.856      96.368	     91.083      34.367     125.451	    106.788      21.508     128.296	
cds1051	     25.945      36.035      61.980	     38.373      54.018      92.391	     26.609      23.808      50.418	
cds1050	     32.864      89.655     122.519	     46.343     137.848     184.191	     24.859      57.070      81.929	
cds4319	      4.822       4.088       8.910	      4.669       4.240       8.909	      4.583       4.011       8.594	
icc	     41.237      74.984     116.221	     45.688      81.784     127.472	     34.442      57.580      92.022	
cds4318	      9.845       9.536      19.382	     10.674       9.290      19.964	     12.895      11.207      24.102	
cds3229	      4.438       3.528       7.966	      4.719       2.913       7.632	      6.150       3.939      10.089	
infC	    637.784     429.362    1067.146	    839.251     567.720    1406.972	    536.445     353.645     890.090	
infB	     15.960      16.454      32.415	     18.345      19.059      37.405	     17.785      18.443      36.228	
cds3224	     16.925      16.956      33.881	     22.154      21.488      43.642	     18.146      17.845      35.991	
infA	     28.196      40.162      68.358	     33.602      50.706      84.308	     26.187      33.957      60.145	
cds3221	      3.791       2.132       5.924	      5.337       2.062       7.400	      2.734       1.295       4.029	
cds3220	      1.155       1.037       2.192	      1.255       1.327       2.582	      0.973       1.059       2.032	
cds1049	     36.794      51.208      88.001	     56.395      78.999     135.393	     30.129      37.132      67.261	
cds1048	      9.096      53.680      62.775	     14.504      77.408      91.912	      9.055      37.850      46.905	
