#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_6h/mapped_ERR405230.sorted.bam Mapped Reads/million: 30.700644
#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_6h/mapped_ERR405231.sorted.bam Mapped Reads/million: 30.864573
#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_6h/mapped_ERR405232.sorted.bam Mapped Reads/million: 19.470339

    	mapped_ERR405230.sorted.bam	mapped_ERR405231.sorted.bam	mapped_ERR405232.sorted.bam	
    	      Sense   Antisense       Total	      Sense   Antisense       Total	      Sense   Antisense       Total	
grxB	    344.626     345.129     689.755	    421.645     423.095     844.740	    298.095     297.223     595.318	
cds1080	     84.404      41.233     125.637	    106.713      54.385     161.098	     57.067      28.533      85.600	
grxA	     52.684      40.469      93.153	     78.176      53.508     131.685	     31.127      21.595      52.722	
baeS	      7.401       7.099      14.500	      7.823       7.661      15.484	      6.438       6.365      12.803	
baeR	      9.956       9.236      19.192	     12.099      10.710      22.810	      7.956       6.891      14.847	
cds3252	      2.246      70.761      73.008	      2.979     106.695     109.675	      2.952      49.589      52.541	
cds286	      5.083       2.608       7.692	      5.744       2.683       8.427	      4.148       2.004       6.152	
mrdB	      1.873       1.317       3.190	      2.853       1.747       4.599	      1.661       0.923       2.584	
cds282	      9.635       7.732      17.367	     12.997       9.982      22.979	      7.597       5.707      13.303	
cds1078	      6.410      12.951      19.360	      5.205      10.410      15.614	      3.919       6.807      10.726	
cds1077	     13.835       9.982      23.817	     12.542      11.148      23.690	      7.456       7.732      15.187	
cds1076	      4.775       3.167       7.942	      5.900       4.050       9.950	      5.627       3.804       9.432	
cds2160	      3.132       1.879       5.011	      3.738       3.115       6.854	      3.457       2.140       5.597	
cds1075	     11.925      24.919      36.844	     14.518      30.629      45.147	      7.578      15.717      23.295	
cds1074	     15.434       7.896      23.330	     19.547      11.335      30.882	     10.046       6.225      16.271	
cds1073	     74.881      72.740     147.622	    104.754     101.813     206.566	     57.951      54.897     112.848	
dinP	      9.223       9.130      18.353	     10.462      10.554      21.017	      8.122       7.733      15.856	
cds1071	     22.968       1.253      24.221	     29.700       1.454      31.153	     16.462       0.329      16.791	
cds1070	     13.735      26.163      39.898	     20.038      34.742      54.780	     16.089      22.689      38.778	
fklB	      5.404       5.109      10.514	      7.184       6.695      13.879	      5.423       5.035      10.458	
dinI	     12.049      10.725      22.774	     16.200      13.961      30.161	     16.076      11.065      27.142	
dinF	     69.223      69.665     138.888	     81.610      83.003     164.612	     74.174      73.399     147.573	
trmU	      7.003       6.562      13.565	      8.166       8.078      16.244	      5.985       5.336      11.321	
cds2158	      1.727       1.985       3.712	      3.277       3.613       6.891	      0.939       1.002       1.940	
cds277	      2.655       0.957       3.611	      3.259       1.380       4.639	      2.602       1.094       3.696	
cds276	      1.858       3.279       5.137	      2.464       4.313       6.777	      1.838       2.872       4.711	
