#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_0h/ERR405224.sorted.bam
#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_0h/ERR405225.sorted.bam
#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_0h/ERR405226.sorted.bam

    	ERR405224.sorted.bam	ERR405225.sorted.bam	ERR405226.sorted.bam	
    	  Sense Antisense  Total	  Sense Antisense  Total	  Sense Antisense  Total	
cds1089	   2521    2615    5136	   2266    2366    4632	   1143    1181    2324	
cds1088	    535     567    1102	    520     551    1071	    254     263     517	
cds1087	   1646    1710    3356	   1489    1574    3063	    803     866    1669	
cds1086	    384     353     737	    313     294     607	    183     182     365	
cds1085	    342     168     510	    355     184     539	    151      76     227	
cds1084	   1301    1196    2497	   1126    1041    2167	    583     538    1121	
cds1083	    284     210     494	    216     158     374	     94      72     166	
orn	    530     444     974	    424     355     779	    261     215     476	
pntB	    767     786    1553	    719     763    1482	    336     360     696	
cds1082	   3973    1684    5657	   3330    1384    4714	   2417    1002    3419	
grxC	    279     196     475	    280     223     503	    113      93     206	
pntA	   1503    1583    3086	   1363    1401    2764	    682     707    1389	
cds1081	   3466    3458    6924	   2882    2940    5822	   2073    1927    4000	
grxB	  10431   10485   20916	   9270    9299   18569	   5907    5969   11876	
cds1080	   1791    1020    2811	   1651     998    2649	    879     532    1411	
grxA	   1454     900    2354	   1515     931    2446	    672     451    1123	
baeS	    619     512    1131	    555     467    1022	    302     247     549	
baeR	    634     595    1229	    497     454     951	    327     303     630	
cds3252	     24     688     712	     23     664     687	     24     361     385	
cds286	    593     200     793	    577     181     758	    238      73     311	
mrdB	    207      95     302	    195      81     276	     92      32     124	
cds282	    889     704    1593	    952     723    1675	    467     362     829	
cds1078	     91     180     271	     75     130     205	     29      75     104	
cds1077	    147     147     294	     91     113     204	     62      59     121	
cds1076	    203     138     341	    183     120     303	     84      58     142	
cds2160	     37      36      73	     47      28      75	     18      10      28	
cds1075	    129     273     402	    103     232     335	     74     146     220	
cds1074	    373     223     596	    326     214     540	    177      93     270	
cds1073	   2212    2151    4363	   2046    1980    4026	   1124    1089    2213	
dinP	    359     351     710	    333     318     651	    181     176     357	
cds1071	    244      13     257	    240      16     256	    144       4     148	
cds1070	    332     482     814	    308     438     746	    211     287     498	
fklB	    220     189     409	    232     185     417	    107      89     196	
dinI	    117     106     223	     69      71     140	     41      42      83	
dinF	   1818    1765    3583	   1532    1543    3075	    750     753    1503	
trmU	    705     688    1393	    598     578    1176	    336     329     665	
cds2158	    128     147     275	    145     163     308	     58      63     121	
cds277	    189      49     238	    158      53     211	    118      24     142	
cds276	     75     166     241	     83     187     270	     39      80     119	
cds2155	     62      64     126	     49      59     108	     27      23      50	
mrcB	   1242    1355    2597	   1120    1220    2340	    684     736    1420	
cds274	    459     389     848	    402     331     733	    242     208     450	
mrcA	    636     545    1181	    489     429     918	    254     222     476	
cds273	    152     156     308	    126     132     258	     87      80     167	
cds1069	    540     485    1025	    475     416     891	    224     205     429	
cds272	     90     110     200	     76      96     172	     29      47      76	
cds1068	     28      41      69	     24      37      61	      7       9      16	
cds2152	     16      55      71	      8      45      53	      3      26      29	
rpoZ	   2002    2035    4037	   1800    1849    3649	   1004     978    1982	
cds271	     93      59     152	     63      39     102	     40      26      66	
cds1066	     85      87     172	     50      54     104	     32      32      64	
cds2150	    190     287     477	    214     292     506	    111     174     285	
cds1065	    277     281     558	    250     253     503	    123     127     250	
cds1064	    255     178     433	    260     185     445	    104      71     175	
cds1063	    133      58     191	    102      46     148	     58      33      91	
cds1062	     99      99     198	     85      85     170	     49      47      96	
trmH	    295     385     680	    316     343     659	    140     164     304	
cds1061	     50      32      82	     39      32      71	     20      21      41	
rpoS	  41957   47121   89078	  39410   44465   83875	  21220   23383   44603	
cds1060	     73      96     169	     71      87     158	     41      42      83	
trmD	   3054    3235    6289	   3151    3241    6392	   1392    1449    2841	
rpoN	   5410    2999    8409	   6237    3249    9486	   2462    1304    3766	
trmA	    914     434    1348	    774     354    1128	    445     203     648	
pheT	   5076    2812    7888	   4932    2652    7584	   2541    1424    3965	
pheS	    439     427     866	    359     341     700	    249     245     494	
pheP	    298     225     523	    270     213     483	    141      99     240	
rpoH	  33817   39976   73793	  29917   35271   65188	  15107   17834   32941	
cds4321	   2794    3662    6456	   2599    3399    5998	   1464    1696    3160	
pheM	      5      71      76	      6      84      90	      2      32      34	
rpoE	  19241   11443   30684	  16394    9603   25997	   8994    5241   14235	
rpoD	   8903    9532   18435	   8363    8910   17273	   4587    4898    9485	
rpoC	   5017    5298   10315	   5388    5657   11045	   2479    2611    5090	
cds2149	   1195    1077    2272	   1092     986    2078	    672     610    1282	
rpoB	   7099    7374   14473	   7455    7722   15177	   3631    3738    7369	
rpoA	   7705    8648   16353	   7743    8809   16552	   3321    3721    7042	
bacA	    233     178     411	    239     189     428	    120      88     208	
cds1059	    376     353     729	    356     345     701	    163     161     324	
cds2143	   2805    2460    5265	   2294    1980    4274	   1636    1447    3083	
cds1058	    990    1794    2784	    882    1495    2377	    511     871    1382	
cds1057	    605     726    1331	    581     654    1235	    335     383     718	
cds2141	   2427     859    3286	   2047     735    2782	   1325     417    1742	
pheA	    675     661    1336	    536     507    1043	    328     319     647	
